date,close
2022-01-03,17874.0
2022-01-04,18030.94921875
2022-01-05,18147.5
2022-01-06,17985.599609375
2022-01-07,18053.94921875
2022-01-10,18229.099609375
2022-01-11,18275.150390625
2022-01-12,18430.25
2022-01-13,18482.44921875
2022-01-14,18485.69921875
2022-01-17,18543.19921875
2022-01-18,18331.69921875
2022-01-19,18179.69921875
2022-01-20,18021.099609375
2022-01-21,17856.150390625
2022-01-24,17353.44921875
2022-01-25,17489.150390625
2022-01-27,17302.349609375
2022-01-28,17314.69921875
2022-01-31,17547.400390625
2022-02-01,17796.25
2022-02-02,17998.75
2022-02-03,17794.69921875
2022-02-04,17755.30078125
2022-02-07,17477.650390625
2022-02-08,17509.80078125
2022-02-09,17707.849609375
2022-02-10,17842.900390625
2022-02-11,17606.599609375
2022-02-14,17060.69921875
2022-02-15,17560.55078125
2022-02-16,17530.650390625
2022-02-17,17524.44921875
2022-02-18,17472.900390625
2022-02-21,17379.099609375
2022-02-22,17276.5
2022-02-23,17273.44921875
2022-02-24,16428.05078125
2022-02-25,16872.349609375
2022-02-28,17016.55078125
2022-03-02,16855.69921875
2022-03-03,16761.599609375
2022-03-04,16482.849609375
2022-03-07,16086.9501953125
2022-03-08,16251.650390625
2022-03-09,16571.55078125
2022-03-10,16835.5
2022-03-11,16877.69921875
2022-03-14,17076.599609375
2022-03-15,16873.44921875
2022-03-16,17198.0
2022-03-17,17505.400390625
2022-03-21,17323.650390625
2022-03-22,17499.19921875
2022-03-23,17446.05078125
2022-03-24,17429.94921875
2022-03-25,17370.5
2022-03-28,17422.150390625
2022-03-29,17523.599609375
2022-03-30,17684.30078125
2022-03-31,17660.349609375
2022-04-01,17879.5
2022-04-04,18256.099609375
2022-04-05,18195.099609375
2022-04-06,18075.099609375
2022-04-07,17920.80078125
2022-04-08,18089.30078125
2022-04-11,18032.400390625
2022-04-12,17877.55078125
2022-04-13,17835.19921875
2022-04-18,17565.94921875
2022-04-19,17330.400390625
2022-04-20,17496.650390625
2022-04-21,17750.19921875
2022-04-22,17541.099609375
2022-04-25,17300.349609375
2022-04-26,17577.80078125
2022-04-27,17398.55078125
2022-04-28,17615.400390625
2022-04-29,17457.19921875
2022-05-02,17419.44921875
2022-05-04,17004.05078125
2022-05-05,17016.599609375
2022-05-06,16729.55078125
2022-05-09,16581.80078125
2022-05-10,16466.25
2022-05-11,16399.69921875
2022-05-12,16023.900390625
2022-05-13,15986.5
2022-05-16,16079.0
2022-05-17,16498.5
2022-05-18,16485.80078125
2022-05-19,16047.349609375
2022-05-20,16476.69921875
2022-05-23,16409.75
2022-05-24,16312.2998046875
2022-05-25,16187.150390625
2022-05-26,16341.900390625
2022-05-27,16516.80078125
2022-05-30,16838.150390625
2022-05-31,16767.5
2022-06-01,16688.94921875
2022-06-02,16794.75
2022-06-03,16721.5
2022-06-06,16701.19921875
2022-06-07,16550.69921875
2022-06-08,16492.19921875
2022-06-09,16616.400390625
2022-06-10,16353.5
2022-06-13,15936.0498046875
2022-06-14,15905.599609375
2022-06-15,15874.900390625
2022-06-16,15543.349609375
2022-06-17,15445.7998046875
2022-06-20,15481.9501953125
2022-06-21,15793.150390625
2022-06-22,15555.2998046875
2022-06-23,15704.7998046875
2022-06-24,15858.2998046875
2022-06-27,15990.2998046875
2022-06-28,16008.849609375
2022-06-29,15952.75
2022-06-30,15929.400390625
2022-07-01,15925.9501953125
2022-07-04,16018.150390625
2022-07-05,16001.599609375
2022-07-06,16196.25
2022-07-07,16339.099609375
2022-07-08,16424.0
2022-07-11,16465.099609375
2022-07-12,16323.5
2022-07-13,16237.25
2022-07-14,16213.0498046875
2022-07-15,16317.2001953125
2022-07-18,16548.150390625
2022-07-19,16614.05078125
2022-07-20,16773.69921875
2022-07-21,16881.69921875
2022-07-22,16970.69921875
2022-07-25,16892.099609375
2022-07-26,16733.30078125
2022-07-27,16889.55078125
2022-07-28,17169.69921875
2022-07-29,17400.75
2022-08-01,17598.80078125
2022-08-02,17618.25
2022-08-03,17646.0
2022-08-04,17652.94921875
2022-08-05,17655.5
2022-08-08,17784.80078125
2022-08-10,17784.900390625
2022-08-11,17913.94921875
2022-08-12,17956.80078125
2022-08-16,18107.25
2022-08-17,18235.55078125
2022-08-18,18264.400390625
2022-08-19,18071.099609375
2022-08-22,17792.44921875
2022-08-23,17878.400390625
2022-08-24,17917.30078125
2022-08-25,17847.650390625
2022-08-26,17893.80078125
2022-08-29,17666.44921875
2022-08-30,18112.400390625
2022-09-01,17924.30078125
2022-09-02,17916.0
2022-09-05,18021.650390625
2022-09-06,18031.30078125
2022-09-07,18008.099609375
2022-09-08,18168.849609375
2022-09-09,18198.099609375
2022-09-12,18319.80078125
2022-09-13,18453.69921875
2022-09-14,18405.599609375
2022-09-15,18316.900390625
2022-09-16,17938.099609375
2022-09-19,18025.25
2022-09-20,18222.099609375
2022-09-21,18091.900390625
2022-09-22,18030.400390625
2022-09-23,17718.44921875
2022-09-26,17374.80078125
2022-09-27,17366.400390625
2022-09-28,17219.55078125
2022-09-29,17167.75
2022-09-30,17438.599609375
2022-10-03,17190.900390625
2022-10-04,17589.30078125
2022-10-06,17662.80078125
2022-10-07,17641.44921875
2022-10-10,17553.150390625
2022-10-11,17285.849609375
2022-10-12,17423.400390625
2022-10-13,17302.150390625
2022-10-14,17432.55078125
2022-10-17,17560.5
2022-10-18,17741.19921875
2022-10-19,17756.25
2022-10-20,17829.44921875
2022-10-21,17808.80078125
2022-10-24,17951.30078125
2022-10-25,17887.400390625
2022-10-27,17989.0
2022-10-28,18017.19921875
2022-10-31,18243.400390625
2022-11-01,18383.19921875
2022-11-02,18322.400390625
2022-11-03,18297.400390625
2022-11-04,18361.44921875
2022-11-07,18450.150390625
2022-11-09,18406.25
2022-11-10,18267.099609375
2022-11-11,18573.349609375
2022-11-14,18568.400390625
2022-11-15,18635.400390625
2022-11-16,18615.5
2022-11-17,18532.44921875
2022-11-18,18483.19921875
2022-11-21,18334.650390625
2022-11-22,18407.5
2022-11-23,18433.80078125
2022-11-24,18627.25
2022-11-25,18652.05078125
2022-11-28,18696.75
2022-11-29,18758.349609375
2022-11-30,18919.55078125
2022-12-01,18973.05078125
2022-12-02,18870.25
2022-12-05,18867.650390625
2022-12-06,18821.55078125
2022-12-07,18754.0
2022-12-08,18802.0
2022-12-09,18687.650390625
2022-12-12,18690.80078125
2022-12-13,18781.650390625
2022-12-14,18837.25
2022-12-15,18604.44921875
2022-12-16,18446.30078125
2022-12-19,18604.5
2022-12-20,18570.400390625
2022-12-21,18361.150390625
2022-12-22,18277.849609375
2022-12-23,17888.05078125
2022-12-27,18263.55078125
2022-12-28,18270.94921875
2022-12-29,18343.599609375
2022-12-30,18258.75
2023-01-02,18334.30078125
2023-01-03,18376.5
2023-01-04,18173.44921875
2023-01-05,18150.0
2023-01-06,18013.94921875
2023-01-09,18248.55078125
2023-01-10,18081.0
2023-01-11,18054.30078125
2023-01-12,18028.30078125
2023-01-13,18126.25
2023-01-16,18074.19921875
2023-01-17,18216.400390625
2023-01-18,18307.400390625
2023-01-19,18244.75
2023-01-20,18169.44921875
2023-01-23,18249.349609375
2023-01-24,18245.349609375
2023-01-25,17974.349609375
2023-01-27,17594.5
2023-01-30,17571.849609375
2023-01-31,17601.0
2023-02-01,17516.150390625
2023-02-02,17490.30078125
2023-02-03,17687.349609375
2023-02-06,17611.44921875
2023-02-07,17569.69921875
2023-02-08,17719.849609375
2023-02-09,17723.849609375
2023-02-10,17685.44921875
2023-02-13,17575.150390625
2023-02-14,17702.349609375
2023-02-15,17786.900390625
2023-02-16,17814.900390625
2023-02-17,17721.05078125
2023-02-20,17626.900390625
2023-02-21,17604.400390625
2023-02-22,17335.0
2023-02-23,17286.30078125
2023-02-24,17242.150390625
2023-02-27,17156.150390625
2023-02-28,17083.80078125
2023-03-01,17238.44921875
2023-03-02,17129.650390625
